accountId,paraId,amount,block_num
15vykB8HQqruUKqcDuLDJJBg585jFTGvhQP7fxzEYbrLfs24,2040,1000000000000,10184112
15PRwm8L4WWgfoi3dKHoM4bLATsJZHWnxaZx83H4gySi2LnP,2040,3010000000000,10184077
1581SJk2NMVFbD5cihwC2pH4EMSd2bXAr3oVTvBAZtyWHVyp,2040,50000000000,10184059
15ViaiYEemDmnyYtiMJeBqo2enu43twwyLSG6jkDJV1LwUwX,2040,1640000000000,10184058
12uW3K6aJPsSPj5Lbr11ofvVuzSHmMKeGDZPxJvat97ZYx99,2040,200100000000,10184033
129Z1yevND5kZKWaJNKY8Q1wjT6JBqqZX8ySkpruK5mbSMZa,2040,60000000000,10184028
12ecNqD2NAcCBbBM3K1h4LqFcKn5bU4drNpkcbmbEbgUmtFL,2040,60000000000,10184007
14K5m2xeiFop8DoBpdxwZH6Y7graBFHJT7qceyaW39gEfTrz,2040,3880000000000,10183947
13rX6PDLsVvWv9ov3j29WZKgeyTYfUo64GRCkmbvkoFaMZ6T,2040,50000000000,10183840
12ranggpkXHBR1qLLyvgVz9wvk3ieJynwxNG2QQUFGmnEBwA,2040,300000000000,10183801
16B5Rv8fPovZEcsNt3KD67wu2UxxZutHNXa74W8Y9ReuxL6g,2040,50000000000,10183757
13bfWkzr2nDy23rJT5sydE937PXriXEuCufgr2qYXdPUbxRB,2040,100000000000,10183623
15yW42WM8Wp7Kky9zf4igxgBi8h3MSkb2pdWyCYFrLAGQaAR,2040,50000000000,10183336
13K6Atx1dy7cjCoKaLmuWWgU4snViUeLMS7oqvDZqee2ay77,2040,450000000000,10183149
12iwXRD7RWXTxpcN6ic25cQoXY2x5sGgAtfr9hvkEeFjTQZe,2040,870000000000,10183115
16SGftpPz4ED7pftr3Kp1yQKRN5Jq5gMQs654eAwdwTYH7sR,2040,350000000000,10183081
15Sja4uRpWyMSuQH1yMMk8JgHFK1upgAxtzVoksZiC66tge8,2040,50000000000,10182827
1guhxGgW9AfZputknF8LH6Grz3uHRwHTALeD4VvPWSEgsqw,2040,2000000000000,10182792
1H8nNTE6Dcc96cznMU8Kvoh1iKoTBmUcbURRqXMGMsFEcjB,2040,440000000000,10182611
15SPMV48Wi5MNsoZiDT6n9fFBKKB4qLZCBob6SP4CDRGNJQD,2040,290000000000,10182600
12vKEpsykQhEyNKibz8wWaHWhi9cQpmjMytrFA1gNiuVXgWu,2040,143000000000,10182439
15mNXAo1CVfDxR3HbQuY1eUVHtWLfL3b9Wm6wbsAQFYiHPB2,2040,70000000000,10182103
1ZCzuQaFhX6jZpyicVUHJCkMm1Xn19y3ycDfPyUGt8VnHW9,2040,310000000000,10181766
138uxFow6GCJguurfJMCGtYJ8nRwgqSfT7axtVoMozJ4H5Hk,2040,3110000000000,10181698
1P3b5Li8P1d7SBQrRuhQKBqiGB3UvSjhdA9mZrXvfAp2B4p,2040,100000000000,10181685
12g9thLfxujDGSTyv5pRxzTeoMe3QXiGvtHBCJu3udVKwKC2,2040,5000000000000,10181456
12BHiGTvLnNi7yW3txjvRu66xUbiY6t342TnzjFzCA432MK2,2040,100000000000,10181100
13bdWaHmSsamjP2manw3Mpjv7m1Y2KwzrPhzCdW5uw3HsfsD,2040,100000000000,10181076
12BE33Kmc6vpJpjpxbEgEq5TvZuL7fXQxqv7BD4oYFsWdocf,2040,100000000000,10181045
1bgzPcdcj6mYXA82BP1csR7tBQddQrmKdTmsj6bV8ihD8nQ,2040,340000000000,10180911
